נתונים היסטוריים - בזק - 00230011
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,771.1000,771.1000,-0.48,776.0000,774.8000,782.5000,771.1000,2765444146,21324340,26448457,3402362,1758,,,2670895650.00,80.00,01/07/2010
24/07/2016,774.8000,774.8000,1.68,767.9000,762.0000,775.5000,764.3000,2765444146,21426661,11501860,1489489,770,,,2670895650.00,80.00,01/07/2010
21/07/2016,762.0000,762.0000,-1.09,770.4000,770.4000,773.0000,762.0000,2765444146,21072684,28891202,3772577,1674,,,2670895650.00,80.00,01/07/2010
20/07/2016,770.4000,770.4000,-1.23,777.0000,780.0000,782.2000,770.4000,2765444146,21304982,46124273,5943881,2635,,,2670895650.00,80.00,01/07/2010
19/07/2016,780.0000,780.0000,0.71,779.8000,774.5000,781.7000,775.1000,2765444146,21570464,42717278,5482770,2149,,,2670895650.00,80.00,01/07/2010
18/07/2016,774.5000,774.5000,-1.09,784.9000,783.0000,789.0000,774.5000,2765444146,21418365,40286769,5154284,2068,,,2670895650.00,80.00,01/07/2010
17/07/2016,783.0000,783.0000,-0.50,781.3000,786.9000,789.0000,781.2000,2765444146,21653428,12748922,1623521,747,,,2670895650.00,80.00,01/07/2010
14/07/2016,786.9000,786.9000,1.26,782.0000,777.1000,786.9000,778.5000,2765444146,21761280,46402914,5922884,1967,,,2670895650.00,80.00,01/07/2010
13/07/2016,777.1000,777.1000,-1.61,785.0000,789.8000,785.0000,772.0000,2765444146,21490266,62124284,7985787,3344,,,2670895650.00,80.00,01/07/2010
12/07/2016,789.8000,789.8000,1.26,773.7000,780.0000,795.2000,773.7000,2765444146,21841478,44121698,5630318,2075,,,2670895650.00,80.00,01/07/2010
11/07/2016,780.0000,780.0000,-0.38,786.0000,783.0000,786.0000,771.0000,2765444146,21570464,28756296,3702262,2003,,,2670895650.00,80.00,01/07/2010
10/07/2016,783.0000,783.0000,0.93,780.0000,775.8000,785.9000,779.0000,2765444146,21653428,14208410,1815121,908,,,2670895650.00,80.00,01/07/2010
07/07/2016,775.8000,775.8000,0.58,771.9000,771.3000,779.9000,766.1000,2765444146,21454316,38367063,4967440,1942,,,2670895650.00,80.00,01/07/2010
06/07/2016,771.3000,771.3000,-0.34,770.0000,773.9000,782.8000,765.2000,2765444146,21329871,65189547,8426386,2393,,,2670895650.00,80.00,01/07/2010
05/07/2016,773.9000,773.9000,-0.79,775.0000,780.1000,783.1000,768.5000,2765444146,21401772,40593723,5248036,2228,,,2670895650.00,80.00,01/07/2010
04/07/2016,780.1000,780.1000,1.58,767.6000,768.0000,789.0000,764.7000,2765444146,21573230,75638966,9672577,3431,,,2670895650.00,80.00,01/07/2010
03/07/2016,768.0000,768.0000,0.59,768.0000,763.5000,773.5000,757.0000,2765444146,21238611,29015413,3785018,1822,,,2670895650.00,80.00,01/07/2010
30/06/2016,763.5000,763.5000,2.44,745.0000,745.3000,765.0000,745.0000,2765444146,21114166,85854395,11331995,3638,,,2670895650.00,80.00,01/07/2010
29/06/2016,745.3000,745.3000,0.17,744.0000,744.0000,750.5000,741.2000,2765444146,20610855,88737979,11895517,4295,,,2670895650.00,80.00,01/07/2010
28/06/2016,744.0000,744.0000,3.66,727.6000,717.7000,747.0000,724.9000,2765444146,20574904,85981861,11702231,4671,,,2670895650.00,80.00,01/07/2010
27/06/2016,717.7000,717.7000,-0.60,724.0000,722.0000,727.4000,710.0000,2765444146,19847593,31743722,4418720,2146,,,2670895650.00,80.00,01/07/2010
26/06/2016,722.0000,722.0000,-2.17,720.3000,738.0000,724.9000,716.3000,2765444146,19966507,20066230,2781971,1081,,,2670895650.00,80.00,01/07/2010
23/06/2016,738.0000,738.0000,2.50,718.0000,720.0000,740.5000,716.6000,2765444146,20408978,133834678,18425097,3647,,,2670895650.00,80.00,01/07/2010
