נתונים היסטוריים - דלק קבוצה - 01084128
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,81720.0000,81720.0000,-0.95,82500.0000,82500.0000,83180.0000,81720.0000,11983595,9792994,8192321,9916,599,,,11377262.00,45.00,16/06/2013
24/07/2016,82500.0000,82500.0000,1.24,81800.0000,81490.0000,82540.0000,81750.0000,11983595,9886466,6912031,8408,484,,,11377262.00,45.00,16/06/2013
21/07/2016,81490.0000,81490.0000,-0.06,81540.0000,81540.0000,81800.0000,81020.0000,11983595,9765432,8595322,10555,555,,,11377262.00,45.00,16/06/2013
20/07/2016,81540.0000,81540.0000,1.58,80700.0000,80270.0000,81580.0000,80560.0000,11983595,9771423,13613257,16777,857,,,11377262.00,45.00,16/06/2013
19/07/2016,80270.0000,80270.0000,1.10,79400.0000,79400.0000,80450.0000,79400.0000,11983595,9619232,7744794,9665,562,,,11377262.00,45.00,16/06/2013
18/07/2016,79400.0000,79400.0000,-0.87,80290.0000,80100.0000,81370.0000,79370.0000,11983595,9514974,13802999,17133,986,,,11377262.00,45.00,16/06/2013
17/07/2016,80100.0000,80100.0000,-0.37,80400.0000,80400.0000,80400.0000,79600.0000,11983595,9598860,3797853,4735,294,,,11377262.00,45.00,16/06/2013
14/07/2016,80400.0000,80400.0000,1.08,80000.0000,79540.0000,80400.0000,79600.0000,11983595,9634810,11451837,14297,733,,,11377262.00,45.00,16/06/2013
13/07/2016,79540.0000,79540.0000,-0.58,80000.0000,80000.0000,80740.0000,79200.0000,11983595,9531751,7107664,8889,635,,,11377262.00,45.00,16/06/2013
12/07/2016,80000.0000,80000.0000,-0.19,80000.0000,80150.0000,80770.0000,79850.0000,11983595,9586876,8367862,10435,605,,,11377262.00,45.00,16/06/2013
11/07/2016,80150.0000,80150.0000,-0.87,81210.0000,80850.0000,82000.0000,80100.0000,11983595,9604851,13974283,17335,1010,,,11377262.00,45.00,16/06/2013
10/07/2016,80850.0000,80850.0000,2.48,79400.0000,78890.0000,80950.0000,79340.0000,11983595,9688737,25958986,32335,902,,,11377262.00,45.00,16/06/2013
07/07/2016,78890.0000,78890.0000,1.95,78090.0000,77380.0000,78900.0000,77800.0000,11983595,9453858,13479389,17209,722,,,11377262.00,45.00,16/06/2013
06/07/2016,77380.0000,77380.0000,0.14,76880.0000,77270.0000,77680.0000,76530.0000,11983595,9272906,16969448,21980,879,,,11377262.00,45.00,16/06/2013
05/07/2016,77270.0000,77270.0000,-0.68,78250.0000,77800.0000,79200.0000,76830.0000,11983595,9259724,23887074,30526,1569,,,11377262.00,45.00,16/06/2013
04/07/2016,77800.0000,77800.0000,2.29,76060.0000,76060.0000,78400.0000,75650.0000,11983595,9323237,52027984,66994,2158,,,11377262.00,45.00,16/06/2013
03/07/2016,76060.0000,76060.0000,1.59,75600.0000,74870.0000,76870.0000,75440.0000,11983595,9114722,6153982,8105,437,,,11377262.00,45.00,16/06/2013
30/06/2016,74870.0000,74870.0000,-1.75,76230.0000,76200.0000,76370.0000,74750.0000,11983595,8972118,16418488,21774,898,,,11377262.00,45.00,16/06/2013
