"נתונים היסטוריים - ת""א - 25",,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
25/07/2016,1468.66,1469.6,1463.92,1473.36,1463.92,600915759
24/07/2016,1467.68,1465.21,1468.66,1472.25,1463.64,602924299
21/07/2016,1468.32,1469.55,1467.68,1472.26,1465.38,605562768
20/07/2016,1459.22,1460.43,1468.32,1468.32,1458.07,603011206
19/07/2016,1458.29,1457.35,1459.22,1459.96,1452.31,598903180
18/07/2016,1459.65,1462.92,1458.29,1468.67,1456.17,599982181
17/07/2016,1460.97,1462.28,1459.65,1463.18,1458.77,598549829
14/07/2016,1449.26,1453.87,1460.97,1462.08,1451.82,601113762
13/07/2016,1444.56,1448.34,1449.26,1451.5,1443.94,597744665
12/07/2016,1434.91,1434.73,1444.56,1447.33,1434.26,588305898
11/07/2016,1431.8,1438.13,1434.91,1440.15,1432.86,584024633
10/07/2016,1412.44,1428.23,1431.8,1433.12,1427.09,582457742
07/07/2016,1398.1,1404.28,1412.44,1412.44,1403.48,574802682
06/07/2016,1405.03,1403.61,1398.1,1408.64,1394.56,568610445
05/07/2016,1413.86,1411.18,1405.03,1412.75,1403.64,568736383
04/07/2016,1412.91,1415.37,1413.86,1417.61,1411.92,572344020
03/07/2016,1397.95,1412.41,1412.91,1415.53,1411.58,569875977
30/06/2016,1399.53,1399.24,1397.95,1402,1396.47,587253420
29/06/2016,1392.25,1397.14,1399.53,1399.53,1392.52,588980058
28/06/2016,1382.34,1390.14,1392.25,1395.33,1386.9,583798275
27/06/2016,1387.2,1391.66,1382.34,1399.5,1378.8,581975031
26/06/2016,1432.64,1390.79,1387.2,1395.22,1383.14,586799568
23/06/2016,1433.58,1436.56,1432.64,1441.24,1429.46,603333652
22/06/2016,1428.63,1429.46,1433.58,1433.93,1425.35,603940654
21/06/2016,1430.39,1430.91,1428.63,1438.31,1427.23,603325243
20/06/2016,1413.14,1425.19,1430.39,1434.42,1424.66,606399041
19/06/2016,1408.68,1413.34,1413.14,1417.68,1412.7,601876120
16/06/2016,1420.3,1403.25,1408.68,1412.27,1400.89,601116901
15/06/2016,1410.09,1419.95,1420.3,1426.88,1417.83,611111140
14/06/2016,1412.44,1410.12,1410.09,1414.36,1405,608615952
13/06/2016,1430.44,1412.65,1412.44,1413.07,1406.59,608546100
09/06/2016,1439.51,1433.16,1430.44,1437.55,1428.99,615446654
08/06/2016,1448.2,1447.18,1439.51,1448.58,1439.51,616602896
07/06/2016,1445.99,1451.58,1448.2,1454.7,1446.3,620052012
06/06/2016,1443.87,1444.78,1445.99,1446.97,1442,617292159
05/06/2016,1444.86,1442.2,1443.87,1447,1441.65,615425476
02/06/2016,1440.45,1438.24,1444.86,1447.11,1437.69,615264545
01/06/2016,1444.34,1444.02,1440.45,1445.12,1435.94,607259284
31/05/2016,1447.46,1450.56,1444.34,1450.56,1441.64,605206986
