נתונים היסטוריים - מגדל ביטוח - 01081165
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,237.6000,237.6000,-0.59,239.0000,239.0000,239.8000,232.6000,1053908234,2504086,4850463,2060703,441,,,1049154187.00,35.00,17/03/2013
24/07/2016,239.0000,239.0000,1.14,238.5000,236.3000,239.5000,237.0000,1053908234,2518841,1351891,566176,215,,,1049154187.00,35.00,17/03/2013
21/07/2016,236.3000,236.3000,-0.25,237.0000,236.9000,237.4000,233.5000,1053908234,2490385,2757429,1173015,355,,,1049154187.00,35.00,17/03/2013
20/07/2016,236.9000,236.9000,1.80,230.9000,232.7000,237.3000,230.9000,1053908234,2496709,3088838,1309593,344,,,1049154187.00,35.00,17/03/2013
19/07/2016,232.7000,232.7000,-0.04,236.8000,232.8000,236.8000,231.1000,1053908234,2452444,2928778,1256186,379,,,1049154187.00,35.00,17/03/2013
18/07/2016,232.8000,232.8000,3.60,226.8000,224.7000,236.9000,226.8000,1053908234,2453498,6751355,2914161,797,,,1049154187.00,35.00,17/03/2013
17/07/2016,224.7000,224.7000,3.93,216.3000,216.2000,224.7000,216.3000,1053908234,2368132,7638314,3445322,734,,,1049154187.00,35.00,17/03/2013
14/07/2016,216.2000,216.2000,1.12,212.5000,213.8000,217.5000,212.5000,1053908234,2278550,2023145,935965,318,,,1049154187.00,35.00,17/03/2013
13/07/2016,213.8000,213.8000,-1.02,215.2000,216.0000,216.9000,212.4000,1053908234,2253256,2618008,1224270,386,,,1049154187.00,35.00,17/03/2013
12/07/2016,216.0000,216.0000,2.56,210.7000,210.6000,217.2000,210.7000,1053908234,2276442,2606081,1218192,403,,,1049154187.00,35.00,17/03/2013
11/07/2016,210.6000,210.6000,-1.13,213.0000,213.0000,215.5000,209.5000,1053908234,2219531,2449643,1155902,425,,,1049154187.00,35.00,17/03/2013
10/07/2016,213.0000,213.0000,-0.88,215.0000,214.9000,217.2000,212.6000,1053908234,2244825,2160282,1010035,339,,,1049154187.00,35.00,17/03/2013
07/07/2016,214.9000,214.9000,-1.38,218.9000,217.9000,219.6000,211.6000,1053908234,2264849,3230186,1500430,478,,,1049154187.00,35.00,17/03/2013
06/07/2016,217.9000,217.9000,-1.85,222.0000,222.0000,223.7000,217.0000,1053908234,2296466,1981125,907387,356,,,1049154187.00,35.00,17/03/2013
05/07/2016,222.0000,222.0000,-1.03,224.4000,224.3000,228.2000,222.0000,1053908234,2339676,3015154,1347470,360,,,1049154187.00,35.00,17/03/2013
04/07/2016,224.3000,224.3000,2.89,219.0000,218.0000,225.0000,217.8000,1053908234,2363916,5466105,2474903,593,,,1049154187.00,35.00,17/03/2013
03/07/2016,218.0000,218.0000,-0.82,222.0000,219.8000,222.2000,217.6000,1053908234,2297520,3253311,1479340,441,,,1049154187.00,35.00,17/03/2013
30/06/2016,219.8000,219.8000,-1.66,223.5000,223.5000,223.6000,218.0000,1053908234,2316490,4601527,2074522,504,,,1049154187.00,35.00,17/03/2013
29/06/2016,223.5000,223.5000,-0.22,225.4000,224.0000,226.6000,220.2000,1053908234,2355485,2960326,1334814,381,,,1049154187.00,35.00,17/03/2013
28/06/2016,224.0000,224.0000,0.40,222.5000,223.1000,225.0000,222.0000,1053908234,2360754,1996961,894839,280,,,1049154187.00,35.00,17/03/2013
27/06/2016,223.1000,223.1000,-1.02,225.5000,225.4000,228.6000,222.1000,1053908234,2351269,1373009,608623,228,,,1049154187.00,35.00,17/03/2013
26/06/2016,225.4000,225.4000,-4.09,227.0000,235.0000,229.3000,225.2000,1053908234,2375509,2424706,1070117,257,,,1049154187.00,35.00,17/03/2013
23/06/2016,235.0000,235.0000,-2.04,241.0000,239.9000,241.0000,234.5000,1053908234,2476684,1311195,552288,226,,,1049154187.00,35.00,17/03/2013
22/06/2016,239.9000,239.9000,0.33,238.0000,239.1000,240.9000,238.0000,1053908234,2528326,805886,336030,173,,,1049154187.00,35.00,17/03/2013
21/06/2016,239.1000,239.1000,0.21,238.7000,238.6000,240.0000,236.1000,1053908234,2519895,837145,352277,162,,,1049154187.00,35.00,17/03/2013
20/06/2016,238.6000,238.6000,1.36,236.0000,235.4000,239.7000,236.0000,1053908234,2514625,1360191,571661,302,,,1049154187.00,35.00,17/03/2013
19/06/2016,235.4000,235.4000,2.39,233.6000,229.9000,237.0000,231.9000,1053908234,2480900,2723560,1158751,322,,,1049154187.00,35.00,17/03/2013
16/06/2016,229.9000,229.9000,-4.96,241.5000,241.9000,242.0000,229.9000,1053908234,2422935,10491621,4510968,1232,,,1049154187.00,35.00,17/03/2013
15/06/2016,241.9000,241.9000,0.25,241.0000,241.3000,247.3000,241.0000,1053908234,2549404,1846921,757533,330,,,1049154187.00,35.00,17/03/2013
14/06/2016,241.3000,241.3000,-1.19,245.0000,244.2000,245.0000,240.0000,1053908234,2543081,6058522,2504887,317,,,1049154187.00,35.00,17/03/2013
13/06/2016,244.2000,244.2000,-1.45,247.5000,247.8000,247.5000,244.1000,1053908234,2573644,1608949,655192,239,,,1049154187.00,35.00,17/03/2013
09/06/2016,247.8000,247.8000,-1.12,249.2000,250.6000,249.3000,245.2000,1053908234,2611585,3497066,1413935,434,,,1049154187.00,35.00,17/03/2013
08/06/2016,250.6000,250.6000,-0.63,252.1000,252.2000,253.3000,250.0000,1053908234,2641094,2942889,1169070,281,,,1049154187.00,35.00,17/03/2013
07/06/2016,252.2000,252.2000,-0.32,252.2000,253.0000,255.0000,250.5000,1053908234,2657957,1083568,428992,208,,,1049154187.00,35.00,17/03/2013
06/06/2016,253.0000,253.0000,-0.32,253.1000,253.8000,255.8000,250.8000,1053908234,2666388,1701268,672426,235,,,1049154187.00,35.00,17/03/2013
05/06/2016,253.8000,253.8000,2.05,250.1000,248.7000,256.0000,248.2000,1053908234,2674819,2461440,975903,396,,,1049154187.00,35.00,17/03/2013
02/06/2016,248.7000,248.7000,0.57,247.4000,247.3000,252.0000,245.6000,1053908234,2621070,1471889,590265,253,,,1049154187.00,35.00,17/03/2013
01/06/2016,247.3000,247.3000,-1.87,248.0000,252.0000,252.5000,244.0000,1053908234,2606315,3356844,1356656,480,,,1049154187.00,35.00,17/03/2013
31/05/2016,252.0000,252.0000,-2.36,258.1000,258.1000,260.5000,252.0000,1053908234,2655849,4634387,1808150,526,,,1049154187.00,35.00,17/03/2013
30/05/2016,258.1000,258.1000,4.49,247.1000,247.0000,258.7000,246.1000,1053908234,2720137,2343932,928866,450,,,1049154187.00,35.00,17/03/2013
29/05/2016,247.0000,247.0000,-0.80,251.9000,249.0000,252.5000,247.0000,1053908234,2603153,1811302,725881,206,,,1049154187.00,35.00,17/03/2013
26/05/2016,249.0000,249.0000,1.01,248.0000,246.5000,250.7000,247.2000,1053908234,2624232,1580929,634780,262,,,1049154187.00,35.00,17/03/2013
25/05/2016,246.5000,246.5000,-0.08,249.4000,246.7000,249.4000,245.7000,1053908234,2597884,1441205,584229,283,,,1049154187.00,35.00,17/03/2013
24/05/2016,246.7000,246.7000,-1.16,248.1000,249.6000,250.8000,246.0000,1053908234,2599992,2047387,822688,316,,,1049154187.00,35.00,17/03/2013
23/05/2016,249.6000,249.6000,-0.48,250.3000,250.8000,252.8000,248.1000,1053908234,2630555,998032,399511,209,,,1049154187.00,35.00,17/03/2013
22/05/2016,250.8000,250.8000,-1.26,254.0000,254.0000,254.1000,250.2000,1053908234,2643202,872845,346831,139,,,1049154187.00,35.00,17/03/2013
19/05/2016,254.0000,254.0000,0.04,252.0000,253.9000,254.6000,251.6000,1053908234,2676927,1376861,543634,207,,,1049154187.00,35.00,17/03/2013
18/05/2016,253.9000,253.9000,-0.04,253.0000,254.0000,257.4000,252.1000,1053908234,2675873,831745,326765,199,,,1049154187.00,35.00,17/03/2013
17/05/2016,254.0000,254.0000,-1.93,259.1000,259.0000,261.2000,250.6000,1053908234,2676927,1671984,654530,272,,,1049154187.00,35.00,17/03/2013
16/05/2016,259.0000,259.0000,0.66,256.2000,257.3000,259.6000,255.9000,1053908234,2729622,1435457,556334,215,,,1049154187.00,35.00,17/03/2013
15/05/2016,257.3000,257.3000,-1.57,257.3000,261.4000,260.0000,256.1000,1053908234,2711706,815127,315719,149,,,1049154187.00,35.00,17/03/2013
10/05/2016,261.4000,261.4000,2.27,257.9000,255.6000,262.0000,256.1000,1053908234,2754916,906879,349573,192,,,1049154187.00,35.00,17/03/2013
