נתונים היסטוריים - מזרחי טפחות - 00695437,,,,,,,,,,,,,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,"שווי שוק (אלפי ש""ח)","מחזור מסחר(ש""ח)",מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,"ממ""מ",אחוז החזקות הציבור למדד,"מועד עדכון ממ""מ אחרון"
25/07/2016,4721,4721,-0.63,4731,4751,4762,4720,231956486,10950666,11812537,249000,733,,,222693566,60,01/07/2010
24/07/2016,4751,4751,0.98,4728,4705,4768,4707,231956486,11020253,4351869,91548,339,,,222693566,60,01/07/2010
21/07/2016,4705,4705,-0.34,4706,4721,4737,4667,231956486,10913553,9456501,201080,669,,,222693566,60,01/07/2010
20/07/2016,4721,4721,0.02,4738,4720,4760,4704,231956486,10950666,15918123,336572,893,,,222693566,60,01/07/2010
19/07/2016,4720,4720,1.05,4667,4671,4720,4643,231956486,10948346,12568072,268211,885,,,222693566,60,01/07/2010
18/07/2016,4671,4671,1.52,4601,4601,4680,4600,231956452,10834686,12657630,272413,974,,,222693566,60,01/07/2010
17/07/2016,4601,4601,-0.37,4604,4618,4610,4581,231956452,10672316,3229381,70172,285,,,222693566,60,01/07/2010
14/07/2016,4618,4618,1.72,4540,4540,4619,4540,231956452,10711749,14477889,315885,959,,,222693566,60,01/07/2010
13/07/2016,4540,4540,-0.77,4575,4575,4575,4491,231956452,10530823,9174073,201777,744,,,222693566,60,01/07/2010
12/07/2016,4575,4575,-0.33,4590,4590,4610,4551,231956452,10612008,17307829,377733,1169,,,222693566,60,01/07/2010
11/07/2016,4590,4590,0.5,4577,4567,4598,4555,231956452,10646801,6335043,138454,501,,,222693566,60,01/07/2010
10/07/2016,4567,4567,0.82,4590,4530,4599,4565,231956452,10593451,5142697,112403,370,,,222693566,60,01/07/2010
07/07/2016,4530,4530,1.39,4460,4468,4530,4441,231956452,10507627,8077474,180095,539,,,222693566,60,01/07/2010
06/07/2016,4468,4468,0.18,4460,4460,4480,4427,231956452,10363814,10952635,246033,890,,,222693566,60,01/07/2010
05/07/2016,4460,4460,-1.46,4506,4526,4506,4454,231956452,10345258,9601435,214555,517,,,222693566,60,01/07/2010
04/07/2016,4526,4526,0.96,4515,4483,4526,4496,231956452,10498349,9010555,199661,651,,,222693566,60,01/07/2010
03/07/2016,4483,4483,0.97,4468,4440,4492,4460,231956452,10398608,6134179,137063,527,,,222693566,60,01/07/2010
30/06/2016,4440,4440,-1,4474,4485,4484,4440,231956452,10298866,35163548,788969,1356,,,222693566,60,01/07/2010
29/06/2016,4485,4485,-0.88,4530,4525,4535,4462,231956452,10403247,22071271,491156,842,,,222693566,60,01/07/2010
28/06/2016,4525,4525,0.89,4550,4485,4569,4518,231956452,10496029,10181702,224419,785,,,222693566,60,01/07/2010
27/06/2016,4485,4485,-0.33,4509,4500,4538,4435,231956452,10403247,16004514,357006,1171,,,222693566,60,01/07/2010
26/06/2016,4500,4500,-3.12,4492,4645,4518,4482,231956452,10438040,16852364,374508,936,,,222693566,60,01/07/2010
23/06/2016,4645,4645,-0.75,4680,4680,4705,4627,231956452,10774377,38907176,832470,840,,,222693566,60,01/07/2010
22/06/2016,4680,4680,0.62,4651,4651,4715,4645,231956452,10855562,12394001,264707,912,,,222693566,60,01/07/2010
21/06/2016,4651,4651,-1.67,4728,4730,4728,4651,231956452,10788295,9890260,211213,663,,,222693566,60,01/07/2010
20/06/2016,4730,4730,3.66,4585,4563,4739,4585,231956452,10971540,30898656,659316,1867,,,222693566,60,01/07/2010
19/06/2016,4563,4563,1.67,4510,4488,4570,4510,231956452,10584173,12332537,271445,667,,,222693566,60,01/07/2010
16/06/2016,4488,4488,3.15,4351,4351,4528,4350,231956452,10410206,43926053,987122,2535,,,222693566,60,01/07/2010
15/06/2016,4351,4351,0.25,4342,4340,4399,4333,231956452,10092425,15406282,353308,1257,,,222693566,60,01/07/2010
14/06/2016,4340,4340,0.49,4330,4319,4396,4304,231956452,10066910,57798297,1330280,1594,,,222693566,60,01/07/2010
13/06/2016,4319,4319,-2.94,4420,4450,4430,4299,231956452,10018199,13477141,308906,1146,,,222693566,60,01/07/2010
09/06/2016,4450,4450,-1.33,4475,4510,4492,4430,231956452,10322062,13098537,293519,922,,,222693566,60,01/07/2010
08/06/2016,4510,4510,0,4501,4510,4512,4483,231956452,10461236,15449118,343322,1315,,,222693566,60,01/07/2010
07/06/2016,4510,4510,0,4520,4510,4520,4483,231956452,10461236,10468121,232435,896,,,222693566,60,01/07/2010
06/06/2016,4510,4510,-0.42,4512,4529,4545,4470,231956452,10461236,11601480,257338,1148,,,222693566,60,01/07/2010
05/06/2016,4529,4529,1.07,4507,4481,4537,4500,231956452,10505308,5225821,115668,394,"ב""ד",0.99578,222693566,60,01/07/2010
02/06/2016,4481.01,4500,-0.51,4485,4523,4519,4482,231956452,10438040,13514803,300604,1073,,,222693566,60,01/07/2010
01/06/2016,4503.9129,4523,-0.29,4536,4536,4555,4503,231956452,10491390,12448956,274920,1230,,,222693566,60,01/07/2010
31/05/2016,4516.8581,4536,-0.02,4537,4537,4537,4482,231956452,10521545,30457953,673436,1433,,,222693566,60,01/07/2010
30/05/2016,4517.8539,4537,1.89,4445,4453,4537,4433,231956452,10523864,13174017,293117,1140,,,222693566,60,01/07/2010
29/05/2016,4434.2083,4453,0.52,4430,4430,4467,4430,231956452,10329021,3657207,82092,380,,,222693566,60,01/07/2010
26/05/2016,4411.3054,4430,-1.01,4425,4475,4466,4420,231925387,10274295,34158110,770726,1385,,,222693566,60,01/07/2010
25/05/2016,4456.1155,4475,1.47,4390,4410,4490,4374,231925387,10378661,17700754,400686,1331,,,222693566,60,01/07/2010
24/05/2016,4391.3898,4410,2.27,4335,4312,4414,4312,231925387,10227910,16597938,379277,1526,,,222693566,60,01/07/2010
23/05/2016,4293.8034,4312,-0.6,4325,4338,4336,4268,231925387,10000623,10642123,247457,1120,,,222693566,60,01/07/2010
22/05/2016,4319.6936,4338,0.14,4316,4332,4343,4304,231925387,10060923,3105631,71823,284,,,222693566,60,01/07/2010
19/05/2016,4313.719,4332,-0.98,4330,4375,4384,4309,231925387,10047008,20028477,460607,1432,,,222693566,60,01/07/2010
18/05/2016,4356.5375,4375,2.03,4288,4288,4405,4225,231925387,10146736,22202169,510565,1189,,,222693566,60,01/07/2010
