נתונים היסטוריים - טבע - 00629014
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,20930.0000,20930.0000,-0.38,21020.0000,21010.0000,21080.0000,20870.0000,914067451,191314317,63335861,302086,1986,,,930062920.00,100.00,01/07/2010
24/07/2016,21010.0000,21010.0000,-1.22,21020.0000,21270.0000,21080.0000,21010.0000,914067451,192045571,27956952,132851,792,,,930062920.00,100.00,01/07/2010
21/07/2016,21270.0000,21270.0000,1.09,21200.0000,21040.0000,21320.0000,21160.0000,914067451,194422147,91851514,432193,2026,,,930062920.00,100.00,01/07/2010
20/07/2016,21040.0000,21040.0000,0.38,20750.0000,20960.0000,21090.0000,20690.0000,914067451,192319792,58798232,281522,2011,,,930062920.00,100.00,01/07/2010
19/07/2016,20960.0000,20960.0000,-0.47,20930.0000,21060.0000,21090.0000,20840.0000,914063172,191587641,64801900,309523,1709,,,930062920.00,100.00,01/07/2010
18/07/2016,21060.0000,21060.0000,1.01,20870.0000,20850.0000,21150.0000,20870.0000,914063172,192501704,89003964,423421,2280,,,930062920.00,100.00,01/07/2010
17/07/2016,20850.0000,20850.0000,-1.14,20950.0000,21090.0000,20950.0000,20850.0000,914063172,190582171,20814809,99639,733,,,930062920.00,100.00,01/07/2010
14/07/2016,21090.0000,21090.0000,0.72,21110.0000,20940.0000,21230.0000,20970.0000,914063172,192775923,112478306,532693,2933,,,930062920.00,100.00,01/07/2010
13/07/2016,20940.0000,20940.0000,4.75,20580.0000,19990.0000,21770.0000,19660.0000,914063172,191404828,490065376,2356536,9594,,,930062920.00,100.00,01/07/2010
12/07/2016,19990.0000,19990.0000,0.71,19750.0000,19850.0000,19990.0000,19720.0000,914063172,182721228,72711030,366737,1810,,,930062920.00,100.00,01/07/2010
