נתונים היסטוריים - כיל - 00281014
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,1573.0000,1573.0000,-0.82,1583.0000,1586.0000,1596.0000,1573.0000,1276149355,20073829,9274854,585177,861,,,1266204174.00,45.00,15/12/2014
24/07/2016,1586.0000,1586.0000,-1.00,1586.0000,1602.0000,1598.0000,1585.0000,1276149355,20239729,7660239,481370,627,,,1266204174.00,45.00,15/12/2014
21/07/2016,1602.0000,1602.0000,-0.62,1580.0000,1612.0000,1610.0000,1573.0000,1276149355,20443913,46730951,2931591,2513,,,1266204174.00,45.00,15/12/2014
20/07/2016,1612.0000,1612.0000,0.75,1600.0000,1600.0000,1612.0000,1595.0000,1276149355,20571528,14010212,872291,1085,,,1266204174.00,45.00,15/12/2014
19/07/2016,1600.0000,1600.0000,-0.62,1615.0000,1610.0000,1617.0000,1600.0000,1276149355,20418390,19099931,1187635,1152,,,1266204174.00,45.00,15/12/2014
18/07/2016,1610.0000,1610.0000,1.00,1605.0000,1594.0000,1611.0000,1583.0000,1276149355,20546005,19121236,1193722,1457,,,1266204174.00,45.00,15/12/2014
17/07/2016,1594.0000,1594.0000,0.63,1590.0000,1584.0000,1618.0000,1588.0000,1276149355,20341821,19666160,1229665,1333,,,1266204174.00,45.00,15/12/2014
14/07/2016,1584.0000,1584.0000,4.76,1540.0000,1512.0000,1594.0000,1530.0000,1276149355,20214206,76929864,4909270,3781,,,1266204174.00,45.00,15/12/2014
13/07/2016,1512.0000,1512.0000,-0.85,1532.0000,1525.0000,1532.0000,1502.0000,1276149355,19295378,15285085,1008828,1226,,,1266204174.00,45.00,15/12/2014
12/07/2016,1525.0000,1525.0000,0.99,1510.0000,1510.0000,1532.0000,1503.0000,1276149355,19461278,22077361,1453124,1508,,,1266204174.00,45.00,15/12/2014
11/07/2016,1510.0000,1510.0000,1.34,1500.0000,1490.0000,1526.0000,1477.0000,1276149355,19269855,45735750,3032218,2571,,,1266204174.00,45.00,15/12/2014
10/07/2016,1490.0000,1490.0000,-0.47,1514.0000,1497.0000,1515.0000,1487.0000,1275217894,19000747,17372956,1158937,1150,,,1266204174.00,45.00,15/12/2014
07/07/2016,1497.0000,1497.0000,3.74,1459.0000,1443.0000,1497.0000,1455.0000,1275217894,19090012,48090698,3250739,2388,,,1266204174.00,45.00,15/12/2014
06/07/2016,1443.0000,1443.0000,-2.50,1477.0000,1480.0000,1486.0000,1440.0000,1275217894,18401394,29468379,2023054,2030,,,1266204174.00,45.00,15/12/2014
05/07/2016,1480.0000,1480.0000,-1.53,1500.0000,1503.0000,1502.0000,1478.0000,1275217894,18873225,12973189,874144,1063,,,1266204174.00,45.00,15/12/2014
04/07/2016,1503.0000,1503.0000,0.27,1499.0000,1499.0000,1514.0000,1492.0000,1275217894,19166525,14980015,996963,1022,,,1266204174.00,45.00,15/12/2014
03/07/2016,1499.0000,1499.0000,0.47,1512.0000,1492.0000,1515.0000,1497.0000,1275217894,19115516,9183681,608758,616,,,1266204174.00,45.00,15/12/2014
30/06/2016,1492.0000,1492.0000,-0.73,1505.0000,1503.0000,1520.0000,1481.0000,1275217894,19026251,29693350,1983809,1554,,,1266204174.00,45.00,15/12/2014
29/06/2016,1503.0000,1503.0000,-1.38,1513.0000,1524.0000,1518.0000,1491.0000,1275217894,19166525,25747022,1709624,1250,,,1266204174.00,45.00,15/12/2014
28/06/2016,1524.0000,1524.0000,1.94,1515.0000,1495.0000,1535.0000,1500.0000,1275217894,19434321,21137592,1393255,1328,,,1266204174.00,45.00,15/12/2014
27/06/2016,1495.0000,1495.0000,-3.24,1550.0000,1545.0000,1573.0000,1470.0000,1275217894,19064508,60358626,3995515,3123,,,1266204174.00,45.00,15/12/2014
26/06/2016,1545.0000,1545.0000,-4.69,1564.0000,1621.0000,1589.0000,1542.0000,1275217894,19702116,20474197,1311331,1098,,,1266204174.00,45.00,15/12/2014
23/06/2016,1621.0000,1621.0000,3.64,1564.0000,1564.0000,1644.0000,1535.0000,1275217894,20671282,141981342,8859176,4728,,,1266204174.00,45.00,15/12/2014
22/06/2016,1564.0000,1564.0000,0.32,1565.0000,1559.0000,1570.0000,1558.0000,1275217894,19944408,16022923,1024261,1330,,,1266204174.00,45.00,15/12/2014
21/06/2016,1559.0000,1559.0000,-1.14,1565.0000,1577.0000,1585.0000,1553.0000,1275217894,19880647,19413180,1238753,1276,,,1266204174.00,45.00,15/12/2014
