נתונים היסטוריים - דיסקונט השקעות - 00639013
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,1124.0000,1124.0000,0.36,1121.0000,1120.0000,1135.0000,1108.0000,101110333,1136480,1740720,154473,220,,,100895229.00,20.00,15/03/2016
24/07/2016,1120.0000,1120.0000,-0.88,1137.0000,1130.0000,1140.0000,1114.0000,101108046,1132410,1828049,162764,238,,,100895229.00,20.00,15/03/2016
21/07/2016,1130.0000,1130.0000,2.73,1100.0000,1100.0000,1130.0000,1100.0000,101076091,1142160,2345817,209746,337,,,100895229.00,20.00,15/03/2016
20/07/2016,1100.0000,1100.0000,-0.36,1108.0000,1104.0000,1115.0000,1095.0000,101075791,1111834,2142064,193820,289,,,100895229.00,20.00,15/03/2016
19/07/2016,1104.0000,1104.0000,2.22,1074.0000,1080.0000,1127.0000,1063.0000,101067145,1115781,4403779,398424,624,,,100895229.00,20.00,15/03/2016
18/07/2016,1080.0000,1080.0000,-0.92,1110.0000,1090.0000,1114.0000,1067.0000,101058357,1091430,7435241,683833,788,,,100895229.00,20.00,15/03/2016
17/07/2016,1090.0000,1090.0000,22.55,1200.0000,889.4000,1200.0000,1080.0000,100949769,1100352,32911406,2945261,2865,,,100895229.00,20.00,15/03/2016
14/07/2016,889.4000,889.4000,1.59,879.9000,875.5000,897.0000,872.1000,100949769,897847,1693867,191238,209,,,100895229.00,20.00,15/03/2016
13/07/2016,875.5000,875.5000,-0.07,877.0000,876.1000,880.2000,860.6000,100949769,883815,1017094,116375,153,,,100895229.00,20.00,15/03/2016
12/07/2016,876.1000,876.1000,4.16,841.1000,841.1000,879.0000,843.5000,100949769,884421,2996595,346040,383,,,100895229.00,20.00,15/03/2016
11/07/2016,841.1000,841.1000,-1.02,849.8000,849.8000,849.8000,837.0000,100949769,849089,370060,43801,62,,,100895229.00,20.00,15/03/2016
10/07/2016,849.8000,849.8000,1.47,838.0000,837.5000,855.0000,838.0000,100949769,857871,202853,23854,64,,,100895229.00,20.00,15/03/2016
07/07/2016,837.5000,837.5000,0.43,839.0000,833.9000,849.0000,831.5000,100949769,845454,315636,37583,85,,,100895229.00,20.00,15/03/2016
06/07/2016,833.9000,833.9000,-0.91,833.0000,841.6000,845.7000,824.0000,100949769,841820,411465,49295,115,,,100895229.00,20.00,15/03/2016
05/07/2016,841.6000,841.6000,-0.73,850.0000,847.8000,850.0000,833.0000,100949769,849593,448836,53440,148,,,100895229.00,20.00,15/03/2016
04/07/2016,847.8000,847.8000,-0.05,848.2000,848.2000,853.7000,832.2000,100949769,855852,663515,78425,137,,,100895229.00,20.00,15/03/2016
03/07/2016,848.2000,848.2000,4.01,838.0000,815.5000,849.8000,824.8000,100949769,856256,1246626,148221,181,,,100895229.00,20.00,15/03/2016
30/06/2016,815.5000,815.5000,4.15,798.0000,783.0000,819.8000,795.2000,100949769,823245,1512914,187033,353,,,100895229.00,20.00,15/03/2016
29/06/2016,783.0000,783.0000,1.25,773.3000,773.3000,787.0000,773.0000,100949769,790437,883324,113071,153,,,100895229.00,20.00,15/03/2016
28/06/2016,773.3000,773.3000,3.22,749.2000,749.2000,775.0000,749.2000,100949769,780645,1041573,136619,193,,,100895229.00,20.00,15/03/2016
27/06/2016,749.2000,749.2000,-3.83,779.0000,779.0000,813.1000,745.0000,100949769,756316,1871773,244700,351,,,100895229.00,20.00,15/03/2016
26/06/2016,779.0000,779.0000,-5.27,800.0000,822.3000,800.0000,772.0000,100949769,786399,1067937,136877,199,,,100895229.00,20.00,15/03/2016
23/06/2016,822.3000,822.3000,-0.27,820.0000,824.5000,834.9000,803.0000,100949769,830110,1135740,138959,241,,,100895229.00,20.00,15/03/2016
22/06/2016,824.5000,824.5000,-1.76,845.0000,839.3000,845.0000,814.0000,100949769,832331,834306,101625,178,,,100895229.00,20.00,15/03/2016
21/06/2016,839.3000,839.3000,-0.24,841.3000,841.3000,850.0000,836.0000,100949769,847271,407628,48458,105,,,100895229.00,20.00,15/03/2016
20/06/2016,841.3000,841.3000,-1.05,850.2000,850.2000,869.5000,821.1000,100949769,849290,716808,84245,140,,,100895229.00,20.00,15/03/2016
19/06/2016,850.2000,850.2000,0.51,845.9000,845.9000,866.1000,845.8000,100949769,858275,306125,36001,52,,,100895229.00,20.00,15/03/2016
16/06/2016,845.9000,845.9000,-2.69,869.3000,869.3000,862.3000,841.0000,100949769,853934,521236,61242,156,,,100895229.00,20.00,15/03/2016
15/06/2016,869.3000,869.3000,-0.08,870.0000,870.0000,881.1000,855.0000,100949769,877556,625595,71447,136,,,100895229.00,20.00,15/03/2016
14/06/2016,870.0000,870.0000,-2.25,890.0000,890.0000,895.0000,855.1000,100949769,878263,1428368,163160,230,,,100895229.00,20.00,15/03/2016
13/06/2016,890.0000,890.0000,-5.10,929.0000,937.8000,929.0000,851.2000,100949769,898453,3417324,387513,589,,,100895229.00,20.00,15/03/2016
09/06/2016,937.8000,937.8000,-0.78,946.0000,945.2000,946.0000,935.3000,100949769,946707,1322393,140791,98,,,100895229.00,20.00,15/03/2016
08/06/2016,945.2000,945.2000,-1.59,960.0000,960.5000,960.1000,940.0000,100949769,954177,721825,76276,148,,,100895229.00,20.00,15/03/2016
07/06/2016,960.5000,960.5000,0.17,964.0000,958.9000,965.9000,959.7000,100896453,969110,757420,78806,124,,,100895229.00,20.00,15/03/2016
06/06/2016,958.9000,958.9000,0.85,953.7000,950.8000,965.0000,952.0000,100896453,967496,1119197,116769,155,,,100895229.00,20.00,15/03/2016
05/06/2016,950.8000,950.8000,-0.12,951.9000,951.9000,970.0000,945.0000,100896453,959323,2327876,243067,242,,,100895229.00,20.00,15/03/2016
02/06/2016,951.9000,951.9000,1.30,939.0000,939.7000,963.0000,935.0000,100896453,960433,950367,100342,161,,,100895229.00,20.00,15/03/2016
01/06/2016,939.7000,939.7000,-0.33,948.0000,942.8000,949.7000,909.9000,100896453,948124,918595,97598,197,,,100895229.00,20.00,15/03/2016
