נתונים היסטוריים - לאומי - 00604611
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,1410.0000,1410.0000,0.00,1408.0000,1410.0000,1425.0000,1402.0000,1522965121,21473808,45629884,3223144,1563,,,1473551221.00,100.00,15/03/2011
24/07/2016,1410.0000,1410.0000,0.50,1407.0000,1403.0000,1413.0000,1403.0000,1522965121,21473808,16735717,1187721,732,,,1473551221.00,100.00,15/03/2011
21/07/2016,1403.0000,1403.0000,0.29,1399.0000,1399.0000,1404.0000,1391.0000,1522965121,21367201,36453198,2608126,1348,,,1473551221.00,100.00,15/03/2011
20/07/2016,1399.0000,1399.0000,1.60,1380.0000,1377.0000,1400.0000,1376.0000,1522965121,21306282,56676999,4079094,1865,,,1473551221.00,100.00,15/03/2011
19/07/2016,1377.0000,1377.0000,0.73,1369.0000,1367.0000,1378.0000,1365.0000,1522965121,20971230,36609150,2666332,1290,,,1473551221.00,100.00,15/03/2011
18/07/2016,1367.0000,1367.0000,0.74,1363.0000,1357.0000,1367.0000,1358.0000,1522965121,20818933,33115525,2428336,1175,,,1473551221.00,100.00,15/03/2011
17/07/2016,1357.0000,1357.0000,-0.44,1366.0000,1363.0000,1368.0000,1351.0000,1522965121,20666637,16176052,1189942,686,,,1473551221.00,100.00,15/03/2011
14/07/2016,1363.0000,1363.0000,1.19,1353.0000,1347.0000,1366.0000,1349.0000,1522965121,20758015,64540764,4752608,1957,,,1473551221.00,100.00,15/03/2011
13/07/2016,1347.0000,1347.0000,0.00,1351.0000,1347.0000,1353.0000,1336.0000,1522965121,20514340,40805180,3029659,1594,,,1473551221.00,100.00,15/03/2011
12/07/2016,1347.0000,1347.0000,1.20,1346.0000,1331.0000,1359.0000,1342.0000,1522965121,20514340,82967105,6141527,2784,,,1473551221.00,100.00,15/03/2011
11/07/2016,1331.0000,1331.0000,1.37,1321.0000,1313.0000,1331.0000,1319.0000,1522965121,20270666,39199606,2958574,1388,,,1473551221.00,100.00,15/03/2011
10/07/2016,1313.0000,1313.0000,1.78,1309.0000,1290.0000,1313.0000,1304.0000,1522965121,19996532,22857309,1745258,838,,,1473551221.00,100.00,15/03/2011
07/07/2016,1290.0000,1290.0000,-0.62,1297.0000,1298.0000,1301.0000,1288.0000,1522965121,19646250,67392482,5212926,2324,,,1473551221.00,100.00,15/03/2011
06/07/2016,1298.0000,1298.0000,-2.11,1320.0000,1326.0000,1332.0000,1296.0000,1522965121,19768087,68451670,5231160,3118,,,1473551221.00,100.00,15/03/2011
05/07/2016,1326.0000,1326.0000,-2.14,1350.0000,1355.0000,1353.0000,1326.0000,1522965121,20194518,66073953,4947551,1923,,,1473551221.00,100.00,15/03/2011
04/07/2016,1355.0000,1355.0000,-0.51,1370.0000,1362.0000,1370.0000,1351.0000,1522965121,20636177,33586891,2474928,1450,,,1473551221.00,100.00,15/03/2011
03/07/2016,1362.0000,1362.0000,0.67,1359.0000,1353.0000,1368.0000,1356.0000,1522965121,20742785,28141391,2064867,691,,,1473551221.00,100.00,15/03/2011
30/06/2016,1353.0000,1353.0000,-0.59,1357.0000,1361.0000,1367.0000,1351.0000,1522965121,20605718,51211334,3773626,1542,,,1473551221.00,100.00,15/03/2011
29/06/2016,1361.0000,1361.0000,-1.87,1387.0000,1387.0000,1390.0000,1361.0000,1522965121,20727555,49942431,3642964,1779,,,1473551221.00,100.00,15/03/2011
28/06/2016,1387.0000,1387.0000,1.76,1377.0000,1363.0000,1393.0000,1369.0000,1522965121,21123526,60817790,4414589,1966,,,1473551221.00,100.00,15/03/2011
27/06/2016,1363.0000,1363.0000,-0.51,1377.0000,1370.0000,1381.0000,1347.0000,1522965121,20758015,53868717,3954095,2381,,,1473551221.00,100.00,15/03/2011
26/06/2016,1370.0000,1370.0000,-3.93,1370.0000,1426.0000,1381.0000,1361.0000,1522973205,20864733,47230419,3445315,1813,,,1473551221.00,100.00,15/03/2011
23/06/2016,1426.0000,1426.0000,0.49,1428.0000,1419.0000,1429.0000,1410.0000,1522973205,21717598,97772371,6860601,1332,,,1473551221.00,100.00,15/03/2011
22/06/2016,1419.0000,1419.0000,-0.07,1415.0000,1420.0000,1421.0000,1407.0000,1522973205,21610990,22221034,1571238,842,,,1473551221.00,100.00,15/03/2011
21/06/2016,1420.0000,1420.0000,-0.35,1420.0000,1425.0000,1420.0000,1405.0000,1522973205,21626220,24399104,1725627,1223,,,1473551221.00,100.00,15/03/2011
20/06/2016,1425.0000,1425.0000,1.50,1418.0000,1404.0000,1425.0000,1408.0000,1522973205,21702368,77146452,5441691,2297,,,1473551221.00,100.00,15/03/2011
19/06/2016,1404.0000,1404.0000,0.65,1410.0000,1395.0000,1419.0000,1402.0000,1522973205,21382544,30933191,2193008,1079,,,1473551221.00,100.00,15/03/2011
16/06/2016,1395.0000,1395.0000,2.65,1358.0000,1359.0000,1413.0000,1351.0000,1522973205,21245476,147889064,10652150,4069,,,1473551221.00,100.00,15/03/2011
15/06/2016,1359.0000,1359.0000,-0.22,1356.0000,1362.0000,1363.0000,1342.0000,1522973205,20697206,50570864,3736272,2043,,,1473551221.00,100.00,15/03/2011
14/06/2016,1362.0000,1362.0000,0.59,1358.0000,1354.0000,1374.0000,1350.0000,1522973205,20742895,216773244,15912613,2860,,,1473551221.00,100.00,15/03/2011
13/06/2016,1354.0000,1354.0000,-0.81,1354.0000,1365.0000,1357.0000,1343.0000,1522973205,20621057,49745649,3685828,1741,,,1473551221.00,100.00,15/03/2011
09/06/2016,1365.0000,1365.0000,-0.66,1364.0000,1374.0000,1370.0000,1359.0000,1522973205,20788584,50913534,3733094,1565,,,1473551221.00,100.00,15/03/2011
08/06/2016,1374.0000,1374.0000,-1.01,1389.0000,1388.0000,1395.0000,1373.0000,1522973205,20925652,46974217,3402885,1897,,,1473551221.00,100.00,15/03/2011
07/06/2016,1388.0000,1388.0000,-0.50,1391.0000,1395.0000,1394.0000,1383.0000,1522973205,21138868,38971037,2804970,1639,,,1473551221.00,100.00,15/03/2011
06/06/2016,1395.0000,1395.0000,1.31,1380.0000,1377.0000,1395.0000,1372.0000,1522973205,21245476,54179296,3921209,2184,,,1473551221.00,100.00,15/03/2011
05/06/2016,1377.0000,1377.0000,-0.07,1378.0000,1378.0000,1390.0000,1372.0000,1522973205,20971341,18281689,1323874,822,,,1473551221.00,100.00,15/03/2011
02/06/2016,1378.0000,1378.0000,-0.43,1380.0000,1384.0000,1402.0000,1371.0000,1522973205,20986571,41257270,2981892,1606,,,1473551221.00,100.00,15/03/2011
01/06/2016,1384.0000,1384.0000,-2.12,1411.0000,1414.0000,1415.0000,1384.0000,1522973205,21077949,33556247,2400427,1609,,,1473551221.00,100.00,15/03/2011
31/05/2016,1414.0000,1414.0000,0.64,1405.0000,1405.0000,1418.0000,1400.0000,1522973205,21534841,81964229,5810850,2438,,,1473551221.00,100.00,15/03/2011
30/05/2016,1405.0000,1405.0000,2.48,1366.0000,1371.0000,1409.0000,1366.0000,1522973205,21397774,58109693,4182684,1747,,,1473551221.00,100.00,15/03/2011
29/05/2016,1371.0000,1371.0000,0.07,1371.0000,1370.0000,1373.0000,1363.0000,1522973205,20879963,20499928,1497562,634,,,1473551221.00,100.00,15/03/2011
26/05/2016,1370.0000,1370.0000,-0.36,1362.0000,1375.0000,1370.0000,1355.0000,1522973205,20864733,101715940,7464597,2096,,,1473551221.00,100.00,15/03/2011
25/05/2016,1375.0000,1375.0000,1.03,1375.0000,1361.0000,1375.0000,1357.0000,1522973205,20940882,49266065,3606577,2105,,,1473551221.00,100.00,15/03/2011
24/05/2016,1361.0000,1361.0000,0.07,1353.0000,1360.0000,1376.0000,1346.0000,1522973205,20727665,71091984,5233007,2909,,,1473551221.00,100.00,15/03/2011
23/05/2016,1360.0000,1360.0000,0.37,1353.0000,1355.0000,1360.0000,1333.0000,1522973205,20712436,41813535,3107866,1914,,,1473551221.00,100.00,15/03/2011
22/05/2016,1355.0000,1355.0000,-0.81,1366.0000,1366.0000,1369.0000,1349.0000,1522973205,20636287,15674269,1156497,752,,,1473551221.00,100.00,15/03/2011
19/05/2016,1366.0000,1366.0000,-1.44,1362.0000,1386.0000,1387.0000,1361.0000,1522973205,20803814,45030520,3290818,1720,,,1473551221.00,100.00,15/03/2011
18/05/2016,1386.0000,1386.0000,0.43,1380.0000,1380.0000,1389.0000,1370.0000,1522973205,21108409,27100468,1964449,1296,,,1473551221.00,100.00,15/03/2011
17/05/2016,1380.0000,1380.0000,1.40,1370.0000,1361.0000,1385.0000,1363.0000,1522973205,21017030,49438703,3600032,2021,,,1473551221.00,100.00,15/03/2011
16/05/2016,1361.0000,1361.0000,-1.73,1385.0000,1385.0000,1389.0000,1349.0000,1522973205,20727665,85564138,6282537,3348,,,1473551221.00,100.00,15/03/2011
15/05/2016,1385.0000,1385.0000,-0.72,1399.0000,1395.0000,1401.0000,1377.0000,1522973205,21093179,30145321,2168472,1033,,,1473551221.00,100.00,15/03/2011
10/05/2016,1395.0000,1395.0000,1.09,1380.0000,1380.0000,1395.0000,1378.0000,1522973205,21245476,53124748,3828593,2160,,,1473551221.00,100.00,15/03/2011
09/05/2016,1380.0000,1380.0000,-0.29,1388.0000,1384.0000,1397.0000,1372.0000,1522973205,21017030,63833366,4602628,2553,,,1473551221.00,100.00,15/03/2011
08/05/2016,1384.0000,1384.0000,1.62,1370.0000,1362.0000,1384.0000,1368.0000,1522973205,21077949,24203446,1760820,1032,,,1473551221.00,100.00,15/03/2011
05/05/2016,1362.0000,1362.0000,0.89,1362.0000,1350.0000,1379.0000,1353.0000,1522973205,20742895,45981395,3363940,1554,,,1473551221.00,100.00,15/03/2011
04/05/2016,1350.0000,1350.0000,-1.46,1364.0000,1370.0000,1372.0000,1345.0000,1522973205,20560138,34797252,2568824,1921,,,1473551221.00,100.00,15/03/2011
03/05/2016,1370.0000,1370.0000,-1.44,1390.0000,1390.0000,1393.0000,1370.0000,1522973205,20864733,47192382,3416740,1917,,,1473551221.00,100.00,15/03/2011
02/05/2016,1390.0000,1390.0000,2.43,1367.0000,1357.0000,1390.0000,1354.0000,1522973205,21169328,49487068,3607761,1907,,,1473551221.00,100.00,15/03/2011
01/05/2016,1357.0000,1357.0000,-1.38,1384.0000,1376.0000,1388.0000,1357.0000,1522973205,20666746,26686691,1941878,1118,,,1473551221.00,100.00,15/03/2011
27/04/2016,1376.0000,1376.0000,-3.23,1393.0000,1422.0000,1401.0000,1376.0000,1522973205,20956111,154864067,11123438,1838,,,1473551221.00,100.00,15/03/2011
26/04/2016,1422.0000,1422.0000,1.57,1413.0000,1400.0000,1424.0000,1412.0000,1522973205,21656679,46453385,3274874,1717,,,1473551221.00,100.00,15/03/2011
25/04/2016,1400.0000,1400.0000,-1.41,1423.0000,1420.0000,1423.0000,1396.0000,1522973205,21321625,23335815,1652575,1297,,,1473551221.00,100.00,15/03/2011
24/04/2016,1420.0000,1420.0000,0.71,1400.0000,1410.0000,1426.0000,1397.0000,1522973205,21626220,11487348,812522,621,,,1473551221.00,100.00,15/03/2011
21/04/2016,1410.0000,1410.0000,-0.56,1427.0000,1418.0000,1427.0000,1399.0000,1522973205,21473922,45827167,3248436,2020,,,1473551221.00,100.00,15/03/2011
20/04/2016,1418.0000,1418.0000,-1.73,1435.0000,1443.0000,1440.0000,1412.0000,1522973205,21595760,59661191,4193842,2928,,,1473551221.00,100.00,15/03/2011
19/04/2016,1443.0000,1443.0000,2.05,1417.0000,1414.0000,1443.0000,1412.0000,1522973205,21976503,71295702,4980732,2708,,,1473551221.00,100.00,15/03/2011
18/04/2016,1414.0000,1414.0000,1.80,1389.0000,1389.0000,1414.0000,1382.0000,1522973205,21534841,52038989,3714544,1686,,,1473551221.00,100.00,15/03/2011
17/04/2016,1389.0000,1389.0000,1.24,1375.0000,1372.0000,1390.0000,1375.0000,1522973205,21154098,15833846,1143656,823,,,1473551221.00,100.00,15/03/2011
14/04/2016,1372.0000,1372.0000,-0.94,1389.0000,1385.0000,1392.0000,1371.0000,1522973205,20895192,44650879,3225618,1515,,,1473551221.00,100.00,15/03/2011
13/04/2016,1385.0000,1385.0000,1.54,1369.0000,1364.0000,1387.0000,1360.0000,1522946067,21092803,46252121,3366382,1974,,,1473551221.00,100.00,15/03/2011
12/04/2016,1364.0000,1364.0000,1.79,1343.0000,1340.0000,1366.0000,1340.0000,1522946067,20772984,39525329,2916084,1694,,,1473551221.00,100.00,15/03/2011
11/04/2016,1340.0000,1340.0000,2.52,1310.0000,1307.0000,1340.0000,1300.0000,1522946067,20407477,42349818,3197641,2040,,,1473551221.00,100.00,15/03/2011
10/04/2016,1307.0000,1307.0000,-0.08,1310.0000,1308.0000,1314.0000,1302.0000,1522946067,19904905,8209015,628185,484,,,1473551221.00,100.00,15/03/2011
07/04/2016,1308.0000,1308.0000,0.00,1315.0000,1308.0000,1318.0000,1298.0000,1522946067,19920135,49216458,3761826,1524,,,1473551221.00,100.00,15/03/2011
06/04/2016,1308.0000,1308.0000,-0.15,1312.0000,1310.0000,1322.0000,1306.0000,1522946067,19920135,33594078,2556807,1619,,,1473551221.00,100.00,15/03/2011
05/04/2016,1310.0000,1310.0000,-2.09,1330.0000,1338.0000,1333.0000,1310.0000,1522946067,19950593,34557716,2618335,1690,,,1473551221.00,100.00,15/03/2011
04/04/2016,1338.0000,1338.0000,-0.22,1341.0000,1341.0000,1356.0000,1338.0000,1522946067,20377018,34525874,2564393,1604,,,1473551221.00,100.00,15/03/2011
03/04/2016,1341.0000,1341.0000,-0.59,1342.0000,1349.0000,1348.0000,1337.0000,1522946067,20422707,9355863,698453,517,,,1473551221.00,100.00,15/03/2011
31/03/2016,1349.0000,1349.0000,-0.52,1350.0000,1356.0000,1360.0000,1336.0000,1522946067,20544542,39727142,2951614,1289,,,1473551221.00,100.00,15/03/2011
30/03/2016,1356.0000,1356.0000,-0.66,1370.0000,1365.0000,1379.0000,1356.0000,1522946067,20651149,21518803,1572778,1070,,,1473551221.00,100.00,15/03/2011
29/03/2016,1365.0000,1365.0000,1.41,1349.0000,1346.0000,1365.0000,1344.0000,1522946067,20788214,36036435,2659366,1303,,,1473551221.00,100.00,15/03/2011
28/03/2016,1346.0000,1346.0000,0.22,1343.0000,1343.0000,1346.0000,1335.0000,1522946067,20498854,16242021,1210083,776,,,1473551221.00,100.00,15/03/2011
27/03/2016,1343.0000,1343.0000,-0.07,1342.0000,1344.0000,1356.0000,1332.0000,1522946067,20453166,11755404,877117,683,,,1473551221.00,100.00,15/03/2011
23/03/2016,1344.0000,1344.0000,-1.83,1361.0000,1369.0000,1379.0000,1344.0000,1522946067,20468395,74948526,5502495,1977,,,1473551221.00,100.00,15/03/2011
22/03/2016,1369.0000,1369.0000,-1.51,1381.0000,1390.0000,1391.0000,1358.0000,1522946067,20849132,83089998,6045739,2673,,,1473551221.00,100.00,15/03/2011
21/03/2016,1390.0000,1390.0000,1.16,1374.0000,1374.0000,1394.0000,1374.0000,1522946067,21168950,39209808,2826252,1828,,,1473551221.00,100.00,15/03/2011
20/03/2016,1374.0000,1374.0000,0.73,1371.0000,1364.0000,1384.0000,1345.0000,1474008030,20252870,18309033,1335427,844,,,1473551221.00,100.00,15/03/2011
