נתונים היסטוריים - פרטנר - 01083484,,,,,,,,,,,,,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,"שווי שוק (אלפי ש""ח)","מחזור מסחר(ש""ח)",מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,"ממ""מ",אחוז החזקות הציבור למדד,"מועד עדכון ממ""מ אחרון"
25/07/2016,1868,1868,2.58,1820,1821,1880,1815,159111635,2972205,6772332,365487,750,,,154855457,80,16/09/2015
24/07/2016,1821,1821,-1.03,1850,1840,1854,1812,159111093,2897413,1131684,61694,158,,,154855457,80,16/09/2015
21/07/2016,1840,1840,-2.49,1884,1887,1910,1816,159111093,2927644,6060805,325752,666,,,154855457,80,16/09/2015
20/07/2016,1887,1887,0.86,1871,1871,1898,1852,159111093,3002426,2252650,119612,307,,,154855457,80,16/09/2015
19/07/2016,1871,1871,-0.21,1849,1875,1890,1849,159111093,2976969,1238178,66130,189,,,154855457,80,16/09/2015
18/07/2016,1875,1875,-2.45,1925,1922,1925,1872,159111093,2983333,2661472,140234,378,,,154855457,80,16/09/2015
17/07/2016,1922,1922,-1.69,1961,1955,1961,1916,159111093,3058115,4096698,212498,239,,,154855457,80,16/09/2015
14/07/2016,1955,1955,-0.56,1960,1966,2013,1942,159110481,3110610,4611279,233576,480,,,154855457,80,16/09/2015
13/07/2016,1966,1966,0.41,1950,1958,1990,1930,159110481,3128112,6246910,318701,656,,,154855457,80,16/09/2015
12/07/2016,1958,1958,5.9,1840,1849,1997,1832,159110481,3115383,21942557,1137906,1868,,,154855457,80,16/09/2015
11/07/2016,1849,1849,0.93,1832,1832,1855,1832,159110481,2941953,1621278,87756,245,,,154855457,80,16/09/2015
10/07/2016,1832,1832,0.05,1836,1831,1862,1823,159110481,2914904,1042115,56811,161,,,154855457,80,16/09/2015
07/07/2016,1831,1831,0.49,1812,1822,1857,1812,159110481,2913313,3832988,208782,437,,,154855457,80,16/09/2015
06/07/2016,1822,1822,1.05,1782,1803,1836,1759,159110481,2898993,17828074,988985,736,,,154855457,80,16/09/2015
05/07/2016,1803,1803,0.22,1794,1799,1835,1788,159110481,2868762,5045739,276847,444,,,154855457,80,16/09/2015
04/07/2016,1799,1799,2.27,1781,1759,1825,1764,159110481,2862398,8399065,465919,674,,,154855457,80,16/09/2015
03/07/2016,1759,1759,-0.4,1795,1766,1821,1742,159110117,2798747,4078653,228040,458,,,154855457,80,16/09/2015
30/06/2016,1766,1766,2.44,1734,1724,1794,1731,159110117,2809885,6979245,395338,918,,,154855457,80,16/09/2015
29/06/2016,1724,1724,3.79,1680,1661,1725,1666,159110117,2743058,7631080,447657,1019,,,154855457,80,16/09/2015
28/06/2016,1661,1661,4.47,1610,1590,1672,1592,159110117,2642819,7062934,433473,858,,,154855457,80,16/09/2015
27/06/2016,1590,1590,-1.24,1625,1610,1645,1556,159110117,2529851,18686859,1161553,1472,,,154855457,80,16/09/2015
26/06/2016,1610,1610,-2.42,1600,1650,1620,1589,159110117,2561673,6986850,434120,711,,,154855457,80,16/09/2015
23/06/2016,1650,1650,-2.94,1666,1700,1715,1650,159110117,2625317,6314531,374545,818,,,154855457,80,16/09/2015
22/06/2016,1700,1700,-1.73,1715,1730,1740,1700,159110117,2704872,5137174,298543,1255,,,154855457,80,16/09/2015
21/06/2016,1730,1730,-0.57,1740,1740,1748,1712,159110117,2752605,6237807,361231,1120,,,154855457,80,16/09/2015
20/06/2016,1740,1740,-0.51,1754,1749,1766,1725,159109158,2768499,4539766,260852,555,,,154855457,80,16/09/2015
19/06/2016,1749,1749,-0.63,1756,1760,1806,1738,159109158,2782819,1203504,67804,174,,,154855457,80,16/09/2015
16/06/2016,1760,1760,-1.95,1785,1795,1785,1756,159109158,2800321,5903479,333882,570,,,154855457,80,16/09/2015
15/06/2016,1795,1795,-2.13,1840,1834,1856,1793,159109158,2856009,5898270,326344,695,,,154855457,80,16/09/2015
14/06/2016,1834,1834,-1.45,1890,1861,1890,1834,159109158,2918062,18280175,993064,854,,,154855457,80,16/09/2015
13/06/2016,1861,1861,-6.06,1935,1981,1935,1840,159109158,2961021,18497688,989594,1202,,,154855457,80,16/09/2015
09/06/2016,1981,1981,-0.7,1994,1995,1998,1931,159109158,3151952,12276971,627672,650,,,154855457,80,16/09/2015
08/06/2016,1995,1995,-1.72,2004,2030,2039,1968,159109158,3174228,5284344,265058,625,,,154855457,80,16/09/2015
07/06/2016,2030,2030,0.25,2031,2025,2052,2001,159109158,3229916,4911346,242597,476,,,154855457,80,16/09/2015
06/06/2016,2025,2025,-1.22,2043,2050,2066,2002,159109158,3221960,4305325,212442,449,,,154855457,80,16/09/2015
05/06/2016,2050,2050,-0.1,2053,2052,2060,2034,159109158,3261738,1512376,73841,166,,,154855457,80,16/09/2015
02/06/2016,2052,2052,0.39,2048,2044,2064,2020,159109158,3264920,2628782,128761,429,,,154855457,80,16/09/2015
01/06/2016,2044,2044,-0.73,2053,2059,2065,2030,159105062,3252107,5578009,272350,963,,,154855457,80,16/09/2015
31/05/2016,2059,2059,0.68,2045,2045,2059,2011,159105062,3275973,8533370,417540,999,,,154855457,80,16/09/2015
30/05/2016,2045,2045,4.76,1952,1952,2045,1940,159105062,3253699,6433190,321679,967,,,154855457,80,16/09/2015
29/05/2016,1952,1952,-1.36,1973,1979,1973,1932,159105062,3105731,2749295,141143,705,,,154855457,80,16/09/2015
26/05/2016,1979,1979,0.61,1991,1967,1993,1915,159105062,3148689,5907461,300930,986,,,154855457,80,16/09/2015
25/05/2016,1967,1967,-0.3,1973,1973,2006,1957,159105062,3129597,4604605,232573,1115,,,154855457,80,16/09/2015
24/05/2016,1973,1973,2.49,1901,1925,1990,1901,159105062,3139143,7386136,375998,1144,,,154855457,80,16/09/2015
23/05/2016,1925,1925,-0.72,1945,1939,1969,1887,159105062,3062772,5443447,283617,609,,,154855457,80,16/09/2015
22/05/2016,1939,1939,-1.57,2023,1970,2023,1933,159105062,3085047,2017056,103028,211,,,154855457,80,16/09/2015
19/05/2016,1970,1970,-2.09,1980,2012,2024,1966,159105062,3134370,2846447,142781,303,,,154855457,80,16/09/2015
18/05/2016,2012,2012,-1.81,2077,2049,2077,1972,159105062,3201194,2537930,127024,391,,,154855457,80,16/09/2015
17/05/2016,2049,2049,-1.49,2085,2080,2095,2031,159105062,3260063,3099738,150606,378,,,154855457,80,16/09/2015
16/05/2016,2080,2080,2.16,2039,2036,2080,2031,159104352,3309371,2716975,132641,340,,,154855457,80,16/09/2015
15/05/2016,2036,2036,2.31,1990,1990,2041,1971,159104352,3239365,1610189,80283,237,,,154855457,80,16/09/2015
10/05/2016,1990,1990,3.06,1931,1931,1990,1916,159104352,3166177,1918098,97976,231,,,154855457,80,16/09/2015
09/05/2016,1931,1931,0.26,1932,1926,1955,1915,159104352,3072305,6215959,322083,285,,,154855457,80,16/09/2015
08/05/2016,1926,1926,-3.31,1998,1992,2020,1916,159104352,3064350,12306870,636573,370,,,154855457,80,16/09/2015
