נתונים היסטוריים - פריגו - 01130699
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,35590.0000,35590.0000,0.28,35560.0000,35490.0000,35970.0000,35480.0000,140565074,50027110,31565529,88506,1259,,,133765790.00,100.00,05/01/2014
24/07/2016,35490.0000,35490.0000,-2.47,35510.0000,36390.0000,35670.0000,35450.0000,140565074,49886545,27963577,78669,1071,,,133765790.00,100.00,05/01/2014
21/07/2016,36390.0000,36390.0000,-0.57,36600.0000,36600.0000,36880.0000,36390.0000,140565074,51151630,28255284,76999,964,,,133765790.00,100.00,05/01/2014
20/07/2016,36600.0000,36600.0000,1.72,36090.0000,35980.0000,36710.0000,36030.0000,140565074,51446817,33445355,91885,1452,,,133765790.00,100.00,05/01/2014
19/07/2016,35980.0000,35980.0000,-0.44,35700.0000,36140.0000,36000.0000,35450.0000,140565074,50575314,35882027,100286,1483,,,133765790.00,100.00,05/01/2014
18/07/2016,36140.0000,36140.0000,-1.69,36770.0000,36760.0000,36960.0000,36110.0000,140565074,50800218,16490839,45047,948,,,133765790.00,100.00,05/01/2014
17/07/2016,36760.0000,36760.0000,0.82,36590.0000,36460.0000,36850.0000,36590.0000,140565074,51671721,5715160,15583,361,,,133765790.00,100.00,05/01/2014
14/07/2016,36460.0000,36460.0000,-2.04,37000.0000,37220.0000,37240.0000,36350.0000,140565074,51250026,43195457,116908,1593,,,133765790.00,100.00,05/01/2014
13/07/2016,37220.0000,37220.0000,1.97,36500.0000,36500.0000,37480.0000,36500.0000,140565074,52318321,57975331,156638,1742,,,133765790.00,100.00,05/01/2014
12/07/2016,36500.0000,36500.0000,0.55,36110.0000,36300.0000,36790.0000,36110.0000,140565074,51306252,30627412,84013,1200,,,133765790.00,100.00,05/01/2014
11/07/2016,36300.0000,36300.0000,-0.55,36690.0000,36500.0000,36710.0000,36200.0000,140565074,51025122,12816163,35119,622,,,133765790.00,100.00,05/01/2014
10/07/2016,36500.0000,36500.0000,1.25,36630.0000,36050.0000,36680.0000,36350.0000,140565074,51306252,8263890,22590,463,,,133765790.00,100.00,05/01/2014
07/07/2016,36050.0000,36050.0000,1.89,35970.0000,35380.0000,36650.0000,35930.0000,140565074,50673709,33402212,92283,1396,,,133765790.00,100.00,05/01/2014
06/07/2016,35380.0000,35380.0000,0.03,35220.0000,35370.0000,35590.0000,35040.0000,140565074,49731923,20770633,58846,1062,,,133765790.00,100.00,05/01/2014
05/07/2016,35370.0000,35370.0000,0.63,35000.0000,35150.0000,35470.0000,34850.0000,140565074,49717867,10624231,30222,547,,,133765790.00,100.00,05/01/2014
04/07/2016,35150.0000,35150.0000,0.86,34990.0000,34850.0000,35380.0000,34930.0000,140565074,49408624,14893609,42400,781,,,133765790.00,100.00,05/01/2014
03/07/2016,34850.0000,34850.0000,0.87,34990.0000,34550.0000,35060.0000,34750.0000,140565074,48986928,11279132,32291,549,,,133765790.00,100.00,05/01/2014
30/06/2016,34550.0000,34550.0000,0.35,35120.0000,34430.0000,35200.0000,34400.0000,140565074,48565233,28229276,80690,1102,,,133765790.00,100.00,05/01/2014
29/06/2016,34430.0000,34430.0000,1.15,33810.0000,34040.0000,34430.0000,33770.0000,140565074,48396555,39712642,116587,1435,,,133765790.00,100.00,05/01/2014
28/06/2016,34040.0000,34040.0000,-2.63,34400.0000,34960.0000,34670.0000,34040.0000,140565074,47848351,30923008,89836,1309,,,133765790.00,100.00,05/01/2014
27/06/2016,34960.0000,34960.0000,-0.77,35230.0000,35230.0000,35440.0000,34820.0000,140565074,49141550,25270038,72006,1059,,,133765790.00,100.00,05/01/2014
26/06/2016,35230.0000,35230.0000,-2.41,34910.0000,36100.0000,35230.0000,34910.0000,140565074,49521076,28494441,81302,917,,,133765790.00,100.00,05/01/2014
23/06/2016,36100.0000,36100.0000,-2.06,36270.0000,36860.0000,36470.0000,35940.0000,140565074,50743992,113803327,313899,1627,,,133765790.00,100.00,05/01/2014
22/06/2016,36860.0000,36860.0000,-0.94,37230.0000,37210.0000,37250.0000,36830.0000,140565074,51812286,17449336,47164,872,,,133765790.00,100.00,05/01/2014
21/06/2016,37210.0000,37210.0000,-0.19,37280.0000,37280.0000,37630.0000,37010.0000,140565074,52304264,32023124,85719,1238,,,133765790.00,100.00,05/01/2014
20/06/2016,37280.0000,37280.0000,-1.84,38120.0000,37980.0000,38520.0000,37280.0000,140565074,52402660,105040150,276921,2674,,,133765790.00,100.00,05/01/2014
19/06/2016,37980.0000,37980.0000,-0.91,37930.0000,38330.0000,38080.0000,37850.0000,140565074,53386615,18883016,49717,607,,,133765790.00,100.00,05/01/2014
16/06/2016,38330.0000,38330.0000,-5.52,37800.0000,40570.0000,38720.0000,37790.0000,140565074,53878593,132525794,346734,3641,,,133765790.00,100.00,05/01/2014
15/06/2016,40570.0000,40570.0000,4.83,41930.0000,38700.0000,45450.0000,39200.0000,140565074,57027251,410176554,975600,10430,,,133765790.00,100.00,05/01/2014
14/06/2016,38700.0000,38700.0000,1.15,38390.0000,38260.0000,38700.0000,38340.0000,140565074,54398684,758826993,1962869,4400,,,133765790.00,100.00,05/01/2014
13/06/2016,38260.0000,38260.0000,-1.92,38150.0000,39010.0000,38290.0000,37880.0000,140565074,53780197,98819391,259267,3017,,,133765790.00,100.00,05/01/2014
09/06/2016,39010.0000,39010.0000,1.72,38500.0000,38350.0000,39320.0000,38460.0000,140565074,54834435,125284773,322159,3988,,,133765790.00,100.00,05/01/2014
08/06/2016,38350.0000,38350.0000,1.75,38000.0000,37690.0000,38420.0000,38000.0000,140565074,53906706,65552964,171500,2204,,,133765790.00,100.00,05/01/2014
07/06/2016,37690.0000,37690.0000,0.11,37900.0000,37650.0000,38180.0000,37320.0000,140565074,52978976,90740787,239835,3276,,,133765790.00,100.00,05/01/2014
06/06/2016,37650.0000,37650.0000,-0.05,37600.0000,37670.0000,37680.0000,37260.0000,140565074,52922750,64999179,173153,1853,,,133765790.00,100.00,05/01/2014
05/06/2016,37670.0000,37670.0000,0.64,37540.0000,37430.0000,37750.0000,37460.0000,140565074,52950863,16464328,43709,603,,,133765790.00,100.00,05/01/2014
02/06/2016,37430.0000,37430.0000,0.78,37210.0000,37140.0000,37670.0000,37130.0000,140565074,52613507,29554082,79135,1294,,,133765790.00,100.00,05/01/2014
01/06/2016,37140.0000,37140.0000,-0.19,36960.0000,37210.0000,37340.0000,36600.0000,140565074,52205868,27479776,74657,1443,,,133765790.00,100.00,05/01/2014
31/05/2016,37210.0000,37210.0000,-0.59,37680.0000,37430.0000,37880.0000,37090.0000,140565074,52304264,76691986,204074,2661,,,133765790.00,100.00,05/01/2014
30/05/2016,37430.0000,37430.0000,0.29,37340.0000,37320.0000,37480.0000,37210.0000,140565074,52613507,15293435,40908,735,,,133765790.00,100.00,05/01/2014
29/05/2016,37320.0000,37320.0000,1.17,37330.0000,36890.0000,37370.0000,37220.0000,140565074,52458886,5606355,15022,375,ב"ד,0.99892,133765790.00,100.00,05/01/2014
26/05/2016,36890.1156,36930.0000,-0.43,37110.0000,37090.0000,37330.0000,36720.0000,140565074,51910682,72579747,195522,1538,,,133765790.00,100.00,05/01/2014
25/05/2016,37049.9428,37090.0000,1.67,36960.0000,36480.0000,37480.0000,36630.0000,140565074,52135586,35347458,94959,1584,,,133765790.00,100.00,05/01/2014
24/05/2016,36440.6016,36480.0000,0.72,36200.0000,36220.0000,36650.0000,36200.0000,140565074,51278139,22665145,62230,931,,,133765790.00,100.00,05/01/2014
23/05/2016,36180.8824,36220.0000,-1.71,36750.0000,36850.0000,36800.0000,36220.0000,140565074,50912670,38100640,104216,1424,,,133765790.00,100.00,05/01/2014
22/05/2016,36810.2020,36850.0000,3.34,36500.0000,35660.0000,36850.0000,36400.0000,140565074,51798230,16127031,44000,670,,,133765790.00,100.00,05/01/2014
19/05/2016,35621.4872,35660.0000,-0.42,36000.0000,35810.0000,36470.0000,35620.0000,140565074,50125505,54191980,150166,1903,,,133765790.00,100.00,05/01/2014
18/05/2016,35771.3252,35810.0000,4.86,34400.0000,34150.0000,35880.0000,34400.0000,140565074,50336353,36513998,104283,1483,,,133765790.00,100.00,05/01/2014
17/05/2016,34113.1180,34150.0000,0.44,32970.0000,34000.0000,34220.0000,32350.0000,140565074,48002973,93569464,283077,4387,,,133765790.00,100.00,05/01/2014
16/05/2016,33963.2800,34000.0000,1.34,33610.0000,33550.0000,34120.0000,33400.0000,140565074,47792125,25607261,75958,1448,,,133765790.00,100.00,05/01/2014
15/05/2016,33513.7660,33550.0000,-5.44,33500.0000,35480.0000,33680.0000,33340.0000,140565074,47159582,35466908,106004,1732,,,133765790.00,100.00,05/01/2014
10/05/2016,35441.6816,35480.0000,-0.25,35560.0000,35570.0000,35700.0000,35260.0000,140565074,49872488,30973615,87181,1434,,,133765790.00,100.00,05/01/2014
09/05/2016,35531.5844,35570.0000,1.89,34990.0000,34910.0000,35820.0000,34790.0000,140565074,49998997,57012906,161712,2619,,,133765790.00,100.00,05/01/2014
08/05/2016,34872.2972,34910.0000,-4.75,35000.0000,36650.0000,35100.0000,34860.0000,140565074,49071267,35201203,100646,1690,,,133765790.00,100.00,05/01/2014
05/05/2016,36610.4180,36650.0000,0.69,36510.0000,36400.0000,36710.0000,36070.0000,140565074,51517100,28734528,78934,1315,,,133765790.00,100.00,05/01/2014
04/05/2016,36360.6880,36400.0000,0.28,36500.0000,36300.0000,36680.0000,35930.0000,140565074,51165687,18959829,52157,1248,,,133765790.00,100.00,05/01/2014
03/05/2016,36260.7960,36300.0000,0.47,36060.0000,36130.0000,36450.0000,35750.0000,140565074,51025122,40761942,113065,1892,,,133765790.00,100.00,05/01/2014
