נתונים היסטוריים - פועלים - 00662577
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי

תאריך,שער נעילה מתואם,שער נעילה (באגורות)    ,שינוי(%),שער פתיחה,שער בסיס,שער גבוה,שער נמוך,הון רשום למסחר,שווי שוק (אלפי ש"ח),מחזור מסחר(ש"ח),מחזור ביחידות,מספר עסקאות,סוג האקס *,מקדם אקס,ממ"מ,אחוז החזקות הציבור למדד,מועד עדכון ממ"מ אחרון
25/07/2016,1986.0000,1986.0000,-0.60,1995.0000,1998.0000,2007.0000,1986.0000,1331582443,26445227,46716202,2338247,1398,,,1321557129.00,80.00,01/07/2010
24/07/2016,1998.0000,1998.0000,0.50,1999.0000,1988.0000,2005.0000,1993.0000,1331582443,26605017,18661996,933744,633,,,1321557129.00,80.00,01/07/2010
21/07/2016,1988.0000,1988.0000,-0.85,2004.0000,2005.0000,2009.0000,1988.0000,1331580763,26471826,37550974,1880746,972,,,1321557129.00,80.00,01/07/2010
20/07/2016,2005.0000,2005.0000,0.50,1999.0000,1995.0000,2007.0000,1989.0000,1331580245,26698184,61561826,3078494,1565,,,1321557129.00,80.00,01/07/2010
19/07/2016,1995.0000,1995.0000,0.76,1977.0000,1980.0000,1999.0000,1976.0000,1331579192,26565005,37310440,1875239,1291,,,1321557129.00,80.00,01/07/2010
18/07/2016,1980.0000,1980.0000,-0.10,1991.0000,1982.0000,1999.0000,1973.0000,1331578288,26365250,34408309,1733855,1147,,,1321557129.00,80.00,01/07/2010
17/07/2016,1982.0000,1982.0000,-0.40,1992.0000,1990.0000,1997.0000,1980.0000,1331578288,26391882,12379032,622556,518,,,1321557129.00,80.00,01/07/2010
14/07/2016,1990.0000,1990.0000,1.63,1970.0000,1958.0000,1990.0000,1966.0000,1331576878,26498380,54833884,2774224,1426,,,1321557129.00,80.00,01/07/2010
13/07/2016,1958.0000,1958.0000,-0.20,1961.0000,1962.0000,1965.0000,1945.0000,1331572830,26072196,33082714,1690983,1288,,,1321557129.00,80.00,01/07/2010
12/07/2016,1962.0000,1962.0000,1.40,1945.0000,1935.0000,1968.0000,1935.0000,1331571416,26125431,71621342,3659836,1912,,,1321557129.00,80.00,01/07/2010
11/07/2016,1935.0000,1935.0000,0.89,1930.0000,1918.0000,1939.0000,1922.0000,1331565540,25765793,33608004,1740382,1074,,,1321557129.00,80.00,01/07/2010
10/07/2016,1918.0000,1918.0000,1.59,1910.0000,1888.0000,1918.0000,1907.0000,1331565540,25539427,22874087,1194166,765,,,1321557129.00,80.00,01/07/2010
07/07/2016,1888.0000,1888.0000,0.69,1875.0000,1875.0000,1888.0000,1869.0000,1331557010,25139796,51608174,2748174,1454,,,1321557129.00,80.00,01/07/2010
06/07/2016,1875.0000,1875.0000,-0.85,1889.0000,1891.0000,1903.0000,1865.0000,1331551580,24966592,38097349,2026962,1525,,,1321557129.00,80.00,01/07/2010
05/07/2016,1891.0000,1891.0000,-1.46,1915.0000,1919.0000,1917.0000,1890.0000,1331546431,25179543,24549165,1291615,1094,,,1321557129.00,80.00,01/07/2010
04/07/2016,1919.0000,1919.0000,-1.08,1940.0000,1940.0000,1945.0000,1919.0000,1331517173,25551815,24224301,1255404,1033,,,1321557129.00,80.00,01/07/2010
03/07/2016,1940.0000,1940.0000,0.00,1948.0000,1940.0000,1950.0000,1935.0000,1331363679,25828455,11880366,611476,529,,,1321557129.00,80.00,01/07/2010
30/06/2016,1940.0000,1940.0000,0.73,1927.0000,1926.0000,1941.0000,1927.0000,1331356157,25828309,46723767,2415434,1445,,,1321557129.00,80.00,01/07/2010
29/06/2016,1926.0000,1926.0000,-0.47,1939.0000,1935.0000,1939.0000,1920.0000,1331354529,25641888,38220753,1978643,1154,,,1321557129.00,80.00,01/07/2010
28/06/2016,1935.0000,1935.0000,1.26,1920.0000,1911.0000,1939.0000,1920.0000,1331352715,25761675,42268829,2190659,1443,,,1321557129.00,80.00,01/07/2010
27/06/2016,1911.0000,1911.0000,0.31,1915.0000,1905.0000,1923.0000,1893.0000,1331349452,25442088,70910928,3716895,2487,,,1321557129.00,80.00,01/07/2010
26/06/2016,1905.0000,1905.0000,-4.32,1905.0000,1991.0000,1928.0000,1900.0000,1331349452,25362207,62948947,3293268,1841,,,1321557129.00,80.00,01/07/2010
23/06/2016,1991.0000,1991.0000,0.05,2002.0000,1990.0000,2002.0000,1984.0000,1331419075,26508554,103415006,5175126,1282,,,1321557129.00,80.00,01/07/2010
22/06/2016,1990.0000,1990.0000,0.61,1985.0000,1978.0000,1990.0000,1973.0000,1331489334,26496638,29248953,1476434,989,,,1321557129.00,80.00,01/07/2010
21/06/2016,1978.0000,1978.0000,-0.85,1985.0000,1995.0000,1992.0000,1974.0000,1331561644,26338289,44235462,2232211,1403,,,1321557129.00,80.00,01/07/2010
20/06/2016,1995.0000,1995.0000,0.91,1990.0000,1977.0000,2000.0000,1972.0000,1331626404,26565947,76560381,3847685,2377,,,1321557129.00,80.00,01/07/2010
19/06/2016,1977.0000,1977.0000,0.36,1995.0000,1970.0000,2002.0000,1972.0000,1331701404,26327737,52738825,2650741,1317,,,1321557129.00,80.00,01/07/2010
16/06/2016,1970.0000,1970.0000,2.87,1914.0000,1915.0000,1999.0000,1902.0000,1331771285,26235894,143897266,7338727,4140,,,1321557129.00,80.00,01/07/2010
15/06/2016,1915.0000,1915.0000,0.79,1898.0000,1900.0000,1916.0000,1880.0000,1331839651,25504729,48154792,2534842,2249,,,1321557129.00,80.00,01/07/2010
14/06/2016,1900.0000,1900.0000,0.58,1881.0000,1889.0000,1901.0000,1879.0000,1331905350,25306202,181168446,9554300,2373,,,1321557129.00,80.00,01/07/2010
13/06/2016,1889.0000,1889.0000,-1.15,1897.0000,1911.0000,1903.0000,1878.0000,1331980350,25161109,47158582,2495678,1933,,,1321557129.00,80.00,01/07/2010
09/06/2016,1911.0000,1911.0000,-1.14,1917.0000,1933.0000,1924.0000,1911.0000,1332044666,25455374,57299819,2992992,1807,,,1321557129.00,80.00,01/07/2010
08/06/2016,1933.0000,1933.0000,0.62,1925.0000,1921.0000,1943.0000,1923.0000,1332114780,25749779,53125379,2749074,1528,,,1321557129.00,80.00,01/07/2010
07/06/2016,1921.0000,1921.0000,-1.59,1942.0000,1952.0000,1945.0000,1913.0000,1332183724,25591249,52816671,2740922,2326,,,1321557129.00,80.00,01/07/2010
06/06/2016,1952.0000,1952.0000,0.26,1944.0000,1947.0000,1954.0000,1935.0000,1332250628,26005532,49205681,2532820,1703,,,1321557129.00,80.00,01/07/2010
05/06/2016,1947.0000,1947.0000,-0.46,1951.0000,1956.0000,1959.0000,1943.0000,1332325628,25940380,19779889,1013310,689,,,1321557129.00,80.00,01/07/2010
02/06/2016,1956.0000,1956.0000,-0.46,1953.0000,1965.0000,1972.0000,1944.0000,1332385906,26061468,39842441,2034863,1392,,,1321557129.00,80.00,01/07/2010
01/06/2016,1965.0000,1965.0000,-1.26,1982.0000,1990.0000,1986.0000,1965.0000,1332449964,26182642,46105432,2331356,1536,,,1321557129.00,80.00,01/07/2010
31/05/2016,1990.0000,1990.0000,1.38,1963.0000,1963.0000,1990.0000,1962.0000,1332524964,26517247,105455368,5318614,1768,ב"ד,0.99493,1321557129.00,80.00,01/07/2010
30/05/2016,1962.9969,1973.0000,1.60,1933.0000,1942.0000,1973.0000,1933.0000,1332524964,26290718,44040929,2248265,1538,,,1321557129.00,80.00,01/07/2010
29/05/2016,1932.1541,1942.0000,-0.31,1945.0000,1948.0000,1947.0000,1939.0000,1332599964,25879091,12241376,630142,492,,,1321557129.00,80.00,01/07/2010
26/05/2016,1938.1236,1948.0000,0.78,1935.0000,1933.0000,1948.0000,1929.0000,1332662658,25960269,123296431,6368817,2195,,,1321557129.00,80.00,01/07/2010
25/05/2016,1923.1997,1933.0000,0.94,1919.0000,1915.0000,1933.0000,1908.0000,1332720441,25761486,49943986,2604078,2187,,,1321557129.00,80.00,01/07/2010
24/05/2016,1905.2910,1915.0000,0.90,1888.0000,1898.0000,1920.0000,1887.0000,1332694506,25521100,82667783,4335567,2369,,,1321557129.00,80.00,01/07/2010
23/05/2016,1888.3771,1898.0000,-0.05,1895.0000,1899.0000,1910.0000,1878.0000,1332630446,25293326,46925279,2480232,1844,,,1321557129.00,80.00,01/07/2010
